"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 12, 2020","22.53","22.55","22.75","22.08","2.59M","1.05%"
"Feb 11, 2020","22.30","22.50","22.57","22.11","4.16M","-0.45%"
"Feb 10, 2020","22.40","22.28","22.40","22.25","2.27M","0.36%"
"Feb 07, 2020","22.32","22.30","22.44","22.15","2.38M","-0.36%"
"Feb 06, 2020","22.40","22.28","22.64","22.24","2.79M","0.67%"
"Feb 05, 2020","22.25","22.13","22.27","21.93","3.62M","-0.04%"
"Feb 04, 2020","22.26","21.91","22.27","21.91","3.34M","1.69%"
"Feb 03, 2020","21.89","22.30","22.36","21.86","3.30M","-1.40%"
"Jan 31, 2020","22.20","22.43","22.58","22.20","4.08M","-0.72%"
"Jan 30, 2020","22.36","22.42","22.52","22.34","2.52M","-0.71%"
"Jan 29, 2020","22.52","22.39","22.59","22.35","2.36M","0.27%"
"Jan 28, 2020","22.46","22.20","22.48","22.14","2.50M","1.54%"
"Jan 27, 2020","22.12","22.24","22.36","22.12","2.66M","-1.47%"
"Jan 24, 2020","22.45","22.18","22.55","22.11","2.68M","2.05%"
"Jan 23, 2020","22.00","21.91","22.18","21.87","2.44M","0.23%"
"Jan 22, 2020","21.95","22.36","22.46","21.95","2.45M","-1.26%"
"Jan 21, 2020","22.23","22.19","22.34","22.16","2.35M","-0.45%"
"Jan 20, 2020","22.33","22.48","22.54","22.33","1.55M","-1.06%"
"Jan 17, 2020","22.57","22.12","22.58","22.09","2.90M","2.17%"
"Jan 16, 2020","22.09","22.25","22.30","22.03","2.79M","-0.76%"
"Jan 15, 2020","22.26","22.32","22.52","22.08","3.77M","-0.04%"
"Jan 14, 2020","22.27","22.29","22.35","21.95","3.03M","0.11%"
"Jan 13, 2020","22.25","22.44","22.48","22.14","2.19M","-1.02%"
"Jan 10, 2020","22.48","22.23","22.58","22.20","2.95M","1.28%"
"Jan 09, 2020","22.19","22.50","22.55","22.19","3.30M","-0.65%"
"Jan 08, 2020","22.33","22.27","22.43","22.27","2.85M","-0.56%"
"Jan 07, 2020","22.46","22.56","22.68","22.42","2.58M","-0.35%"
"Jan 06, 2020","22.54","22.40","22.55","22.26","2.37M","0.00%"
